"Region","Species","Cscore","Dispersal_syndrome","Dispersal_unit_type","Photo_pathway","Growth_form","Growth_rate","Plant_lifespan_fac","Propagation_type","Resprout","Woodiness","Drought_tol","Fire_tol","Salt_tol","Shade_tol"
"Dakotas","Abronia fragrans",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Acalypha rhomboidea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Acalypha virginica",0,"animal",NA,NA,"forb","fast","annual",NA,"no","herbaceous","medium","low","low","medium"
"Dakotas","Acer negundo",1,"wind","seed","c3","tree","fast","perennial",NA,"yes","woody","high","low","medium","high"
"Dakotas","Acer saccharinum",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Acer saccharum",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Achillea alpina",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Achillea millefolium",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Achnatherum hymenoides ",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Acmispon americanus",3,NA,NA,"c3","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Actaea rubra",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Adiantum capillus-veneris",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agalinis aspera",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agalinis tenuifolia",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agastache foeniculum",7,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Agastache nepetoides",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agastache scrophulariifolia",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Ageratina altissima",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agoseris glauca",8,NA,NA,"c3","forb","fast","perennial",NA,"no",NA,"low","medium","low","low"
"Dakotas","Agrimonia gryposepala",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agrimonia striata",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agrohordeum macounii",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agrostis exarata",10,NA,NA,"c3","graminoid","moderate","perennial",NA,"no","herbaceous","low","medium","low","low"
"Dakotas","Agrostis hyemalis",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agrostis perennans",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agrostis scabra",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Alisma gramineum",2,"water","seed","c3","forb","moderate","perennial","seed","no","herbaceous","low","high","low","low"
"Dakotas","Alisma subcordatum",2,NA,NA,NA,"forb","moderate","perennial",NA,"no","herbaceous","low","medium","low","low"
"Dakotas","Alisma triviale",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Allium canadense",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
