"Region","Species","Cscore","SLA_no_pet","SLA_with_pet","LDMC","LeafN","Veg_height","Plant_lifespan_yrs","Seed_dry_mass","Germ_rate","Drought_tol_Mpa","Dispersal_syndrome","Dispersal_unit_type","Photo_pathway","Growth_form","Growth_rate","Plant_lifespan_fac","Propagation_type","Resprout","Woodiness","Drought_tol","Fire_tol","Salt_tol","Shade_tol"
"Dakotas","Abronia fragrans",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Acalypha rhomboidea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Acalypha virginica",0,28.0112044817927,NA,NA,15.67,0.7572,NA,0.628999330226725,NA,NA,"animal",NA,NA,"forb","fast","annual",NA,"no","herbaceous","medium","low","low","medium"
"Dakotas","Acer negundo",1,22.9578326118266,28.2290043706294,0.302579993687767,25.8375,11.8039813333333,88.9285714285714,38.2320616425122,NA,NA,"wind","seed","c3","tree","fast","perennial",NA,"yes","woody","high","low","medium","high"
"Dakotas","Acer saccharinum",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Acer saccharum",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Achillea alpina",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Achillea millefolium",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Achnatherum hymenoides ",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Acmispon americanus",3,NA,NA,NA,NA,NA,NA,5.08518181818182,NA,NA,NA,NA,"c3","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Actaea rubra",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Adiantum capillus-veneris",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
