ID,ScientificName,Dak_Cval,AB_Cval,KS_Cval,IL_Cval,Dispersal_syndrome,Dispersal_unit_type,Leaf_arrangement_type,Leaf_color,Leaf_compoundness,Leaf_phenology,Leaf_phenology_type,Leaf_shape,Photosynthesis_pathway,Plant_growth_form,Plant_growth_rate,Plant_lifespan,Plant_propagation_type,Plant_resprouting_capacity,Plant_tolerance_to_drought,Plant_tolerance_to_fire,Plant_tolerance_to_salt,Plant_tolerance_to_shade,Plant_vegetative_regeneration_capacity,Plant_woodiness,Seed_germination_requirement,Seed_storage_behaviour,LDMC,leafN_drymass,Seed_germ_rate,Seed_mass,SLA_no_petiole_or_rachis,SLA_plus_petiole_and_rachis,Veg_height
1,Abronia fragrans,7,,6,,NA,NA,opposite,NA,simple,NA,evergreen,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Acer saccharinum,4,,2,1,auto,NA,opposite,green,simple,SpSu,deciduous,acuminate,c3,tree,fast,annual,NA,yes,low,no,none,intermediate,NA,woody,no,recalcitrant,0.28788,19.84238143,NA,228.8197913,NA,34.66060131,19.88451
6,Acer saccharum,10,,6,4,auto,NA,opposite,green,simple,SpSu,deciduous,acute,c3,tree,slow,perennial,NA,no,med,intermediate,none,tolerant,NA,woody,yes,orthodox,0.328358057,21.44873304,NA,65.84401228,35.90541989,32.03516184,2.706187578
7,Achillea millefolium,3,0,1,,animal,seed,alternate,green,compound,Sp,deciduous,pinnatifid,c3,herb,moderate,perennial,seed and vegetative,no,med,intermediate,low,intolerant,yes,non-woody,no,orthodox,0.231044984,27.25493042,100,0.176513916,13.88717644,16.02146868,0.27657907
9,Actaea rubra,8,5,,,NA,seed,alternate,NA,compound,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.201964286,29.43047,NA,9.537625,NA,40.61404659,0.283571429
11,Agalinis aspera,9,,7,10,NA,NA,opposite,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,0.32,11.26126126,NA,NA
12,Agalinis tenuifolia,8,,4,5,NA,NA,opposite,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,0.048,NA,NA,NA
14,Agastache nepetoides,8,,4,4,NA,NA,opposite,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,18.79,NA,0.330142857,17.85714286,NA,NA
16,Agrimonia gryposepala,5,,9,3,NA,NA,alternate,green,compound,Sp,NA,NA,NA,herb,moderate,perennial,NA,no,low,no,none,intermediate,yes,non-woody,no,NA,0.13,NA,NA,15.26394928,20.6,22.78138622,1.79832
17,Agrimonia striata,5,4,,,NA,NA,alternate,green,compound,SpSu,NA,NA,NA,herb,moderate,perennial,NA,no,med,no,none,tolerant,yes,non-woody,no,NA,NA,NA,NA,1.811594203,NA,NA,1.8288
21,Agrostis hyemalis,1,,2,2,NA,NA,alternate,green,simple,SpSuF,NA,NA,c3,graminoid,moderate,perennial,NA,no,low,intermediate,medium,intermediate,yes,non-woody,no,NA,0.3495,17.45,NA,0.058018812,14.49275362,13.315,0.54736
22,Agrostis perennans,2,,5,4,NA,NA,alternate,green,simple,SpSuF,NA,NA,NA,graminoid,moderate,perennial,NA,no,low,intermediate,none,intermediate,yes,non-woody,no,NA,NA,NA,NA,0.083322464,NA,NA,1.0668
23,Agrostis scabra,1,,,5,multi,fruit,alternate,green,simple,Sp,evergreen,NA,c3,graminoid,moderate,perennial,NA,no,low,intermediate,low,intolerant,yes,non-woody,no,orthodox,NA,14.00065355,NA,0.065957971,NA,11.80637544,0.355333333
28,Allium perdulce,9,,7,,NA,NA,rosette,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Allium stellatum,7,,6,10,NA,NA,rosette,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.113779204,31.84,NA,2.093214286,14.92537313,NA,0.41
30,Allium textile,7,,6,,NA,NA,rosette,green,simple,Sp,NA,NA,c3,herb,fast,perennial,NA,no,high,intermediate,low,intermediate,yes,non-woody,no,NA,0.135927,NA,NA,2.45,NA,10.1858419,0.3048
31,Allium tricoccum,10,,,7,animal,NA,rosette,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,14.37786667,NA,NA,NA
32,Almutaster pauciflorus,10,6,,,gravity,seed,alternate,green,simple,SpSu,deciduous,NA,c3,graminoid,moderate,annual,seed,no,low,intermediate,med-low,intolerant,yes,non-woody,no,orthodox,0.176686,NA,NA,0.229657129,24.808,NA,0.325777778
33,Alopecurus aequalis,2,4,7,6,animal,fruit,alternate,green,simple,Sp,deciduous,NA,c3,graminoid,fast,perennial,NA,no,low,intermediate,high,intermediate,yes,non-woody,no,NA,0.282654566,NA,NA,0.584758172,NA,NA,0.69735
40,Amaranthus arenicola,0,,6,,animal,seed,alternate,NA,simple,NA,deciduous,NA,c4,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,0.523636364,NA,NA,0.4475
43,Amaranthus retroflexus,0,,1,,NA,NA,alternate,NA,simple,NA,NA,NA,c4,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.216477059,16.32,NA,0.407727273,16.2601626,NA,2
44,Amaranthus tuberculatus,0,,,1,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,orthodox,NA,NA,88.5,5.507,NA,NA,NA
